aalib 1.4rc5-19
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
lua 5.5.1-1
lua-luarocks 3.13.0-5
lua51 5.1.5-13
lua51-lpeg 1.1.0-5
lua54 5.4.9-1
luajit 2.1.1787165859+1ee778a-1
luarocks 3.13.0-5
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-3
make 4.4.1-3
mako 1.11.0-1
md4c 0.5.3-1
mdadm 4.6-2
mesa 1:26.2.2-1
mkinitcpio 41.1-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.7-1
msgpack-c 7.0.1-1
mtdev 1.1.7-1
muparser 2.3.5-2
mypaint-brushes 2.0.2-2
mypaint-brushes1 1.3.1-2
ncurses 6.6-2
neovim 0.12.5-1
nettle 4.0-1
network-manager-applet 1.36.0-2
networkmanager 1.58.1-1
nftables 1:1.1.7-3
nm-connection-editor 1.36.0-2
node-gyp 13.0.2-1
nodejs 26.8.1-2
nodejs-nopt 10.0.1-1
noto-fonts 1:2026.09.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npm 12.0.2-1
npth 1.8-1
nspr 4.40-1
nss 3.128-1
nvm 0.40.5-1
nwg-look 1.1.1-3
ocl-icd 2.3.5-1
onetbb 2023.1.0-1
oniguruma 6.9.10-1
opencore-amr 0.1.6-2
openexr 3.4.15-1
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.31.0-1
openssh 10.5p1-1
openssl 3.6.4-1
opus 1.6.1-1
orc 0.4.43-1
otf-font-awesome 7.3.1-1
p11-kit 0.26.5-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260610-1
pam 1.7.2-2
pambase 20260616-1
pamixer 1.6-4
pango 1:1.58.2-1
pangomm 2.46.5-1
parted 3.7-1
paru 2.1.0-2
paru-debug 2.1.0-2
pastel 0.12.0-1
patch 2.8-1
pciutils 3.15.0-1
pcre 8.45-5
pcre2 10.48-1
pcsclite 2.5.1-1
perl 5.42.2-2
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
pinentry 1.3.3-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pixman 0.46.4-1
pkgconf 3.0.6-1
playerctl 2.4.1-5
polkit 127-3
polkit-qt6 0.201.1-1
poppler 26.08.0-1
poppler-data 0.4.12-2
poppler-glib 26.08.0-1
popt 1.19-2
portaudio 1:19.7.0-4
power-profiles-daemon 0.30-1
pps-tools 1.0.3-2
procps-ng 4.0.7-1
psmisc 23.7-2
pugixml 1.16-1
python 3.14.7-1
python-argcomplete 3.7.2-1
python-attrs 26.1.0-1
python-cairo 1.29.1-1
python-cffi 2.1.1-1
python-click 8.3.3-1
python-configargparse 1.7.5-1
python-cryptography 50.0.1-1
python-dbus 1.4.0-2
python-distro 1.9.0-4
python-docopt 0.6.2-15
python-filelock 3.30.2-1
python-gobject 3.56.3-1
python-packaging 26.3-1
python-pip 26.2.1-1
python-pipx 1.15.0-1
python-platformdirs 4.11.7-1
python-pycparser 3.00-1
python-pyxdg 0.28-7
python-setproctitle 1.3.7-2
python-userpath 1.9.2-4
python-wheel 0.48.0-1
python-yaml 6.0.3-2
qt5-base 5.15.19+kde+r96-1
qt5-declarative 5.15.19+kde+r23-1
qt5-quickcontrols2 5.15.19+kde+r5-1
qt5-translations 5.15.19-1
qt6-base 6.11.2-3
qt6-declarative 6.11.2-1
qt6-svg 6.11.2-1
qt6-translations 6.11.2-1
qt6-wayland 6.11.2-1
qt6ct 0.11-8
quickshell 0.3.1-1
rav1e 0.8.1-3
re2 2:2025.11.05-6
readline 8.3.003-1
ripgrep 15.2.0-1
rofi 2.0.0-1
rofimoji 6.8.0-1
rose-pine-cursor 1.1.0-2
rsync 3.5.0-1
rubberband 4.0.0-2
run-parts 5.24-1
rust 1:1.98.0-1
satty 0.22.0-1
sbc 2.2-1
sdbus-cpp 2.3.1-1
sdl2-compat 2.32.70-1
sdl3 3.4.14-1
seatd 0.9.3-1
sed 4.10-2
semver 7.8.5-1
serd 0.32.10-1
shaderc 2026.3-1
shadow 4.20.0.arch1-1
shared-mime-info 2.5.1-2
simdjson 1:4.6.9-1
slang 2.3.3-4
slurp 1.5.0-2
snappy 1.2.2-3
sndio 1.10.0-1
socat 1.8.1.3-1
sof-firmware 2025.12.2-1
sord 0.16.22-1
source-highlight 3.1.9-19
spandsp 0.0.6-7
spdlog 1.17.0-2
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.357.0-1
sqlite 3.53.4-1
sratom 0.6.22-1
srt 1.5.7-1
starship 1.26.0-1
startup-notification 0.12-9
stow 2.4.1-1
sudo 1.9.17.p2-6
suitesparse 7.14.0-1
svt-av1 4.2.0-1
systemd 261.2-1
systemd-libs 261.2-1
systemd-sysvcompat 261.2-1
tar 1.35-5
tesseract 5.5.3-1
tesseract-data-afr 2:4.1.0-5
tesseract-data-osd 2:4.1.0-5
texinfo 7.3-1
timeshift 25.12.4-1
tinysparql 3.11.1-1
tmux 3.7_c-1
tomlplusplus 3.4.0-2
tpm2-tss 4.2.0-2
tree-sitter 0.26.9-1
tree-sitter-c 0.24.1-2
tree-sitter-cli 0.26.9-1
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
tslib 1.24-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-jetbrains-mono-nerd 3.5.1-2
ttf-liberation 2.1.5-2
tzdata 2026c-1
udiskie 2.7.0-2
udisks2 2.11.2-1
ufw 0.36.2-7
unibilium 2.1.4-1
unzip 6.0-23
upower 1.91.3-1
util-linux 2.42.3-1
util-linux-libs 2.42.3-1
uwsm 0.26.7-1
v4l-utils 1.32.0-2
vapoursynth 79-1
vid.stab 1.1.2-1
viu 1.6.1-2
vmaf 3.2.0-1
volume_key 0.3.12-12
vte-common 0.84.1-1
vte3 0.84.1-1
vulkan-icd-loader 1.4.357.0-1
